epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,828.749,1.64852,2.53396,1.1278,1.3524,0.77444,0.65339,0.74385,0.40814,0.76604,0.62897,0.71573,0.35963,1.65063,2.60139,1.16515,1.38358,0.007129,0.007129,0.007129
31,854.898,1.64336,2.49693,1.13247,1.34792,0.76615,0.68345,0.76579,0.41451,0.77074,0.66308,0.74472,0.3688,1.65266,2.70219,1.1358,1.37172,0.00703,0.00703,0.00703
32,881.124,1.68658,2.55142,1.19109,1.39094,0.7886,0.66854,0.77261,0.4058,0.78162,0.65065,0.74785,0.35855,1.71811,2.64196,1.17293,1.39793,0.006931,0.006931,0.006931
33,906.886,1.64175,2.52818,1.16213,1.35561,0.73159,0.62521,0.70134,0.38217,0.72439,0.60521,0.67332,0.32889,1.66026,2.67341,1.23979,1.40624,0.006832,0.006832,0.006832
34,933.264,1.62653,2.50307,1.13959,1.33673,0.77888,0.6652,0.76016,0.41963,0.77497,0.65066,0.73913,0.36329,1.62517,2.59542,1.19284,1.36594,0.006733,0.006733,0.006733
35,959.464,1.67211,2.57969,1.16968,1.35358,0.77689,0.68293,0.77398,0.42225,0.77354,0.66808,0.75656,0.37748,1.62601,2.58267,1.15629,1.37061,0.006634,0.006634,0.006634
36,985.757,1.63353,2.52985,1.12369,1.34444,0.76959,0.64918,0.73718,0.4043,0.75959,0.62672,0.71125,0.36473,1.66826,2.61041,1.19318,1.38361,0.006535,0.006535,0.006535
37,1012.83,1.68157,2.56814,1.13396,1.3514,0.79551,0.67475,0.77695,0.42082,0.79848,0.66081,0.75788,0.37613,1.67016,2.62233,1.15173,1.37216,0.006436,0.006436,0.006436
38,1039.18,1.66262,2.55966,1.15094,1.36566,0.7755,0.6399,0.73401,0.40868,0.76535,0.62551,0.71045,0.35933,1.62445,2.72839,1.29195,1.38788,0.006337,0.006337,0.006337
39,1065.5,1.66237,2.54083,1.14598,1.35651,0.79016,0.68224,0.78614,0.43894,0.78466,0.67015,0.7685,0.38952,1.56276,2.50769,1.10907,1.32231,0.006238,0.006238,0.006238
40,1092.46,1.63893,2.4945,1.14394,1.34916,0.77452,0.69323,0.78002,0.42908,0.77545,0.68376,0.76783,0.39478,1.63087,2.53426,1.14152,1.37576,0.006139,0.006139,0.006139
